Dst Port,Protocol,Fwd Pkt Len Std,Bwd Pkt Len Min,Flow Byts/s,Fwd IAT Mean,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Var,FIN Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Std,Active Max,Active Min,Idle Max,Idle Min
45674,180,1412,1135,217646,81388,17728,232220,54510,25507,63771,0,0,45093,83946,220,3097,0,0,0,0,0,44,924,462842,54856,51815,6,1328,93287,45269,33951,82720,45416
25319,24,15,1331,987626,15110,4723,583295,59090,27991,96136,0,0,34859,25411,116,1418,0,0,0,0,0,13,1011,491513,55475,40843,663,1265,66099,27574,18305,19616,32295
29186,239,121,738,513667,15611,52180,396989,83670,11447,76104,0,0,13502,45688,123,3114,0,0,0,0,0,30,751,673482,40047,63902,660,132,88272,69389,25706,18208,57369
34617,48,196,651,164660,45873,25643,161397,56145,79142,28200,0,0,26265,44527,519,4476,0,0,0,0,0,38,1122,228121,29343,29249,827,1461,39183,68877,61502,60131,37663
664,208,435,580,139670,80374,78383,73023,98682,22868,54648,0,0,54416,44005,1287,2227,0,0,0,0,0,47,1438,476552,21556,29963,730,455,85118,49976,18205,21336,39451
8253,18,207,907,380945,49766,97013,620344,72681,68915,54646,0,0,9358,81264,237,3505,0,0,0,0,0,42,614,409447,9678,55410,281,829,33683,47519,75245,42508,15361
30848,147,1015,1024,969729,37083,44392,755618,67777,73132,30999,0,0,55273,50445,1279,4092,0,0,0,0,0,15,1098,344957,14026,43741,356,1013,22779,23717,43932,58101,27898
26002,214,690,479,830637,42719,38508,315034,30093,22513,72659,0,0,51620,42149,760,138,0,0,0,0,0,35,491,462730,51404,53878,720,457,95298,46418,94227,82887,76797
21909,30,729,1040,440403,83615,71863,121887,85609,76498,23791,0,0,11168,99838,1406,895,0,0,0,0,0,21,533,520428,54938,11642,138,242,47951,55731,20879,46648,72605
27593,104,1391,75,625357,47040,5960,55105,80553,675,63606,0,0,16868,63543,1344,1023,0,0,0,0,0,22,863,38068,57592,53126,652,742,12327,2890,4710,11390,97576
37934,226,714,926,746045,30967,1491,277124,10670,90405,95596,0,0,45624,2663,356,2306,0,0,0,0,0,29,752,811101,32190,55273,150,432,90107,78182,13998,25949,31814
2275,4,1112,828,82831,66665,32859,638793,25985,91446,92334,0,0,97239,83846,311,1197,0,0,0,0,0,35,1026,32990,52680,27841,375,377,21762,3887,10453,65439,95351
16249,224,986,352,517133,82692,31257,800652,68066,36983,69957,0,0,493,68855,954,4928,0,0,0,0,0,0,133,175385,52437,5895,771,401,93780,48609,86451,43166,50526
25191,47,675,1026,297697,84307,13627,409110,54789,90338,71054,0,0,67357,45278,735,4698,0,0,0,0,0,13,133,507260,34397,57097,233,744,1590,30145,11949,20847,16526
60058,67,690,400,267863,93922,57060,36570,39480,7717,89538,0,0,79431,32330,722,332,0,0,0,0,0,30,166,206151,116,21186,679,289,87069,12880,51704,19663,39408
23718,177,542,351,153219,78033,21889,883007,98273,42561,9124,0,0,39501,47736,164,221,0,0,0,0,0,26,787,883206,44156,22217,813,1025,34438,14773,68332,63903,31455
21149,96,42,625,554897,16852,4938,414753,87563,24022,5742,0,0,28708,6900,1276,4780,0,0,0,0,0,2,307,278265,550,38685,246,79,19888,67335,39619,66476,29763
26559,145,998,595,761269,53603,23382,751123,61399,50832,38786,0,0,99899,90905,271,2362,0,0,0,0,0,30,1146,666796,12036,16074,150,561,77738,85645,2377,77230,77440
18852,44,1416,180,200569,90648,89556,861201,48299,44267,87224,0,0,6417,1895,629,1996,0,0,0,0,0,35,918,582922,5457,56921,974,1202,66183,72548,59894,39098,74078
